"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 03:47:49 UTC 2025","Sat Aug 09 03:47:53 UTC 2025","3458","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[7]",""
"passed","Sat Aug 09 03:48:39 UTC 2025","Sat Aug 09 03:48:43 UTC 2025","4721","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash_alternative[12]",""
"passed","Sat Aug 09 03:48:17 UTC 2025","Sat Aug 09 03:48:28 UTC 2025","10659","tests","test_turnlamp_all_pass","","","","test_turnlamp_triggered_synchronflash[12]",""
"passed","Sat Aug 09 03:48:03 UTC 2025","Sat Aug 09 03:48:07 UTC 2025","3468","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[11]",""
"passed","Sat Aug 09 03:48:28 UTC 2025","Sat Aug 09 03:48:39 UTC 2025","10735","tests","test_turnlamp_all_pass","","","","test_turnlamp_triggered_mf4file[14]",""
"passed","Sat Aug 09 03:47:56 UTC 2025","Sat Aug 09 03:48:00 UTC 2025","3571","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[9]",""
"passed","Sat Aug 09 03:48:14 UTC 2025","Sat Aug 09 03:48:17 UTC 2025","3565","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[14]",""
"passed","Sat Aug 09 03:48:07 UTC 2025","Sat Aug 09 03:48:10 UTC 2025","3564","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[12]",""
"passed","Sat Aug 09 03:47:53 UTC 2025","Sat Aug 09 03:47:56 UTC 2025","3469","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[8]",""
"passed","Sat Aug 09 03:48:10 UTC 2025","Sat Aug 09 03:48:14 UTC 2025","3461","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[13]",""
"passed","Sat Aug 09 03:47:45 UTC 2025","Sat Aug 09 03:47:49 UTC 2025","4164","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[6]",""
"passed","Sat Aug 09 03:48:00 UTC 2025","Sat Aug 09 03:48:03 UTC 2025","3492","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[10]",""
