13:40:53.768000 INFO    : openta.common.config.testenv_reader :: Load test environment configuration: 'testdata/testenv_veos.yaml'
13:40:53.788000 INFO    : openta.common.config.testenv_reader :: Analyze ports ...
13:40:53.792000 INFO    : openta.common.config.testenv_reader :: Register 'Model' XIL API MAPort port.
13:40:53.792000 INFO    : openta.common.config.testenv_reader :: Analyze mappings ...
13:40:53.792000 INFO    : openta.common.config.testenv_reader :: Process XIL API Mapping file 'VEOS/turnlamp/Mappings/TurnLampMapping.xml' .
13:40:53.890000 INFO    : openta.testing.testenv :: Setup Ports
13:40:53.890000 INFO    : openta.testing.testenv :: Setup [1] 'Model' XilModelAccessPort: Create
13:40:53.890000 INFO    : openta.ports.xilapi_modelaccess :: create 'Model' XilModelAccessPort
13:40:53.890000 INFO    : openta.ports.xilapi_base :: load ASAM testbench factory assemblies for XIL version: 2.2.0
13:41:18.556000 INFO    : openta.testing.testenv :: Setup [1] 'Model' XilModelAccessPort: Connect/Configure
13:41:18.556000 INFO    : openta.ports.xilapi_modelaccess :: connect 'Model' XilModelAccessPort
13:41:26.646000 INFO    : openta.testing.testenv :: Setup [1] 'Model' XilModelAccessPort: Start
13:41:26.646000 INFO    : openta.ports.xilapi_modelaccess :: start 'Model' XilModelAccessPort: Start Simulation
13:41:26.980000 WARNING : openta.ports.xilapi_base :: start XilModelAccessCapture: The corresponding 'Model' XilModelAccessPort is not started, but in STARTED state
