06:46:59.330000 INFO    : openta.common.config.testenv_reader :: Load test environment configuration: 'testdata/testenv_veos_linux.yaml'
06:46:59.337000 INFO    : openta.common.config.testenv_reader :: Analyze ports ...
06:46:59.337000 INFO    : openta.common.config.testenv_reader :: Register 'Model' XIL API MAPort port.
06:46:59.338000 INFO    : openta.common.config.testenv_reader :: Analyze mappings ...
06:46:59.338000 INFO    : openta.common.config.testenv_reader :: Process XIL API Mapping file 'VEOS_Linux/TurnLampMapping.xml' .
06:46:59.398000 INFO    : openta.testing.testenv :: Setup Ports
06:46:59.398000 INFO    : openta.testing.testenv :: Setup [1] 'Model' XilModelAccessPort: Create
06:46:59.398000 INFO    : openta.ports.xilapi_modelaccess :: create 'Model' XilModelAccessPort
06:46:59.398000 INFO    : openta.ports.xilapi_base :: load ASAM testbench factory assemblies for XIL version: 2.2.0
06:47:06.140000 INFO    : openta.testing.testenv :: Setup [1] 'Model' XilModelAccessPort: Connect/Configure
06:47:06.140000 INFO    : openta.ports.xilapi_modelaccess :: connect 'Model' XilModelAccessPort
06:47:10.393000 INFO    : openta.testing.testenv :: Setup [1] 'Model' XilModelAccessPort: Start
06:47:10.393000 INFO    : openta.ports.xilapi_modelaccess :: start 'Model' XilModelAccessPort: Start Simulation
06:47:10.538000 WARNING : openta.ports.xilapi_base :: start XilModelAccessCapture: The corresponding 'Model' XilModelAccessPort is not started, but in STARTED state
